user_id,pay_days,repay_days
341731542,90,90
341731977,30,38
341732944,15,19
341745577,30,60
341745598,30,89
341746384,10,13
341748687,30,33
341750393,30,31
341753920,15,16
341764566,10,10
341764567,10,16
341771607,15,20
341777215,10,61
341778973,10,29
341779461,10,11
341784354,10,23
341787767,30,31
341789592,10,13
341789598,10,13
341789963,90,94
341793140,10,10
341794110,10,23
341797132,10,21
341797153,10,16
341801181,30,34
341803515,10,20
341803609,10,30
341803752,10,10
341805231,10,53
341806211,15,16
341806305,10,11
341810754,15,27
341813643,10,10
341813682,15,31
341819036,30,31
341828555,15,29
341835347,10,10
341836259,30,45
341838244,10,10
341840850,10,58
341843119,10,10
341846125,90,90
341846911,30,38
341846915,30,69
341848583,90,90
341858864,10,10
341858880,15,15
341859177,30,41
341860889,15,15
341861681,90,92
341861696,10,67
341863753,15,32
341863793,30,55
341865083,15,15
341865089,15,20
341865812,30,60
341868431,10,18
341868856,30,31
341872620,10,15
341874734,10,17
341875723,10,48
341884155,30,30
341884161,30,63
341890073,15,15
341914000,10,10
341914293,365,365
341917053,10,10
341923090,10,22
341929212,30,31
341930961,30,30
341942506,30,71
341945837,30,30
341947818,10,82
341948799,10,13
341951949,90,90
341952423,10,15
341953907,30,33
341954833,30,30
341957267,30,40
341957891,15,19
341957968,30,30
341958207,15,15
341958278,30,30
341960047,30,48
341970481,30,98
341974181,10,12
341974559,10,13
341976727,15,15
341979396,15,22
341983684,10,38
341987061,10,13
341987213,30,31
341987223,30,30
341990820,30,31
341993202,90,101
341993214,10,52
341993235,15,15
341993240,10,10
341995819,10,25
341997002,30,31
342002276,15,20
342010087,15,15
342011330,90,93
342014806,30,32
342024428,30,40
342026259,10,76
342031252,30,30
342031498,15,16
342031533,15,22
342031702,15,15
342034856,30,30
342035158,15,15
342035161,10,10
342041790,15,15
342042774,10,19
342043134,30,37
342050316,10,52
342053525,30,34
342057849,30,31
342057862,10,12
342058931,30,41
342060207,30,30
342060231,15,47
342061084,10,31
342062348,10,10
342066230,30,34
342067046,30,30
342072878,10,64
342074047,10,41
342075032,15,15
342088015,30,30
342089334,30,98
342089344,30,30
342089378,10,10
342090017,30,30
342093983,30,87
342098534,10,14
342098565,90,104
342102993,30,30
342103436,15,17
342106589,10,12
342106590,10,12
342107966,30,30
342110595,30,30
342110613,10,11
342112218,90,93
342116312,30,112
342123792,10,10
342127168,15,16
342127328,30,30
342127338,10,11
342134325,30,48
342136432,30,30
342140137,10,17
342141671,10,13
342142174,15,15
342143867,10,78
342146553,10,10
342147429,15,32
342148732,90,92
342148933,15,16
342149900,10,36
